m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
6.866488,1.0216981478e+01,1.8621508658e-03,0.822521,0.46988579
6.866488,1.1406794577e+01,2.2332042800e-03,0.687510,0.46819724
6.866488,1.2735166723e+01,2.7201756400e-03,0.584120,0.46999710
7.906043,5.8900303675e+00,8.8433867061e-04,2.572045,0.46982935
7.906043,6.5759506955e+00,1.0153562911e-03,2.098204,0.46889910
7.906043,7.3417495075e+00,1.1767149092e-03,1.726222,0.46769003
7.906043,8.1967290095e+00,1.3679651377e-03,1.418936,0.46747419
7.906043,9.1512746909e+00,1.6052095969e-03,1.175390,0.46817275
7.906043,1.0216981478e+01,1.9012595559e-03,0.980841,0.46904189
7.906043,1.1406794577e+01,2.2730239755e-03,0.824263,0.46927955
7.906043,1.2735166723e+01,2.7429605896e-03,0.697356,0.46808018
7.906043,1.4218233734e+01,3.3619405254e-03,0.599245,0.46906448
7.906043,1.5874010520e+01,4.1721931973e-03,0.520548,0.46910456
9.102982,3.0413853336e+00,3.9291182151e-04,8.634158,0.36131022
9.102982,3.3955682317e+00,4.3866815699e-04,6.967734,0.36116436
9.102982,3.7909973093e+00,4.8975302199e-04,5.602178,0.35830936
9.102982,4.2324758681e+00,5.9100706917e-04,4.995141,0.40295867
9.102982,4.7253665758e+00,7.1988176231e-04,4.488650,0.46814254
9.102982,5.2756566064e+00,8.1885701596e-04,3.665649,0.46904972
9.102982,5.8900303675e+00,9.3144019988e-04,2.983122,0.46895954
9.102982,6.5759506955e+00,1.0661144845e-03,2.438967,0.46934057
9.102982,7.3417495075e+00,1.2278764586e-03,2.002842,0.46977528
9.102982,8.1967290095e+00,1.4274419195e-03,1.658397,0.46876393
9.102982,9.1512746909e+00,1.6646126914e-03,1.372547,0.46903120
9.102982,1.0216981478e+01,1.9593900615e-03,1.144618,0.46950192
9.102982,1.1406794577e+01,2.3279923276e-03,0.961463,0.46937417
9.102982,1.2735166723e+01,2.7918696198e-03,0.813186,0.46781589
9.102982,1.4218233734e+01,3.4006632524e-03,0.698161,0.46848147
9.102982,1.5874010520e+01,3.8085145959e-03,0.530813,0.40569230
10.481131,2.7241463332e+00,3.0565365354e-04,9.085574,0.24216460
10.481131,3.0413853336e+00,3.4124838586e-04,7.400284,0.23724842
10.481131,3.3955682317e+00,3.8098828365e-04,6.002074,0.23883189
10.481131,3.7909973093e+00,4.3471988376e-04,4.996137,0.24717986
10.481131,4.2324758681e+00,5.7056030776e-04,4.998211,0.33701482
10.481131,4.7253665758e+00,7.5586902910e-04,4.999890,0.45227271
10.481131,5.2756566064e+00,8.6785345869e-04,4.148921,0.46801237
10.481131,5.8900303675e+00,9.8717307574e-04,3.392825,0.46784605
10.481131,6.5759506955e+00,1.1263962257e-03,2.776899,0.46951684
10.481131,7.3417495075e+00,1.2892586466e-03,2.274385,0.46851334
10.481131,8.1967290095e+00,1.4895046499e-03,1.878330,0.46973031
10.481131,9.1512746909e+00,1.7369872009e-03,1.563774,0.46812360
10.481131,1.0216981478e+01,2.0319001145e-03,1.301789,0.46820938
10.481131,1.1406794577e+01,2.3768845695e-03,1.078993,0.46062621
10.481131,1.2735166723e+01,2.6536833874e-03,0.838627,0.41346772
10.481131,1.4218233734e+01,2.9627166633e-03,0.647282,0.36645934
12.067926,2.4399977085e+00,2.3777384851e-04,9.338490,0.15936252
12.067926,2.7241463332e+00,2.6546367453e-04,7.688037,0.15748006
12.067926,3.0413853336e+00,2.9637810440e-04,6.298798,0.15815818
12.067926,3.3955682317e+00,3.3089265762e-04,5.136805,0.15492941
12.067926,3.7909973093e+00,4.2229928686e-04,4.995994,0.20347684
12.067926,4.2324758681e+00,5.5598539104e-04,5.003583,0.27874295
12.067926,4.7253665758e+00,7.3885523877e-04,5.003083,0.38792687
12.067926,5.2756566064e+00,9.3129795370e-04,4.646728,0.46951252
12.067926,5.8900303675e+00,1.0495003978e-03,3.772870,0.46809329
12.067926,6.5759506955e+00,1.1900865016e-03,3.077446,0.46717961
12.067926,7.3417495075e+00,1.3286773870e-03,2.458491,0.44604977
12.067926,8.1967290095e+00,1.4834077996e-03,1.958037,0.42445223
12.067926,9.1512746909e+00,1.6561572595e-03,1.554174,0.39952889
12.067926,1.0216981478e+01,1.8490241651e-03,1.228875,0.36795780
12.067926,1.1406794577e+01,2.0643512827e-03,0.967380,0.34008779
12.067926,1.2735166723e+01,2.3047542043e-03,0.757659,0.31031550
12.067926,1.4218233734e+01,2.5731531193e-03,0.589932,0.27954277
12.067926,2.2090711661e+01,8.7680588598e-03,0.532077,0.46883117
13.894955,2.1854878884e+00,1.8496884424e-04,9.362527,0.10324522
13.894955,2.4399977085e+00,2.0650929181e-04,7.791438,0.10270524
13.894955,2.7241463332e+00,2.3055822065e-04,6.454331,0.10388003
13.894955,3.0413853336e+00,2.5740775460e-04,5.320880,0.10265881
13.894955,3.3955682317e+00,3.1746368103e-04,4.995001,0.12577407
13.894955,3.7909973093e+00,4.1407988641e-04,4.996097,0.17275335
13.894955,4.2324758681e+00,5.4686250722e-04,5.006209,0.23490156
13.894955,4.7253665758e+00,7.2899593631e-04,5.000372,0.32817460
13.894955,5.2756566064e+00,8.2922428141e-04,4.129585,0.33752984
13.894955,5.8900303675e+00,9.2579115044e-04,3.329025,0.32370159
13.894955,6.5759506955e+00,1.0336036624e-03,2.676302,0.31787292
13.894955,7.3417495075e+00,1.1539714227e-03,2.145733,0.30904133
13.894955,8.1967290095e+00,1.2883565459e-03,1.715557,0.29573480
13.894955,9.1512746909e+00,1.4383914166e-03,1.367543,0.28226589
13.894955,1.0216981478e+01,1.6058985177e-03,1.086550,0.26650603
13.894955,1.1406794577e+01,1.7929125684e-03,0.860098,0.24887117
13.894955,1.2735166723e+01,2.0017052402e-03,0.677957,0.22806004
13.894955,1.4218233734e+01,2.2348127505e-03,0.531777,0.20884419
13.894955,1.9786486935e+01,6.9927146119e-03,0.631766,0.46992241
13.894955,2.2090711661e+01,8.9243998796e-03,0.564658,0.46949129
13.894955,2.4663273642e+01,1.1640432305e-02,0.512437,0.46918670
15.998587,1.9575253262e+00,1.4389081707e-04,9.189956,0.06651129
15.998587,2.1854878884e+00,1.6064754501e-04,7.713307,0.06782466
15.998587,2.4399977085e+00,1.7935566872e-04,6.452179,0.06716042
15.998587,2.7241463332e+00,2.0024243695e-04,5.375942,0.06682317
15.998587,3.0413853336e+00,2.4314964289e-04,5.000399,0.07999350
15.998587,3.3955682317e+00,3.1420332714e-04,5.000903,0.10565671
15.998587,3.7909973093e+00,4.1110413861e-04,5.009101,0.14697154
15.998587,4.2324758681e+00,5.4293252909e-04,4.999814,0.20444381
15.998587,4.7253665758e+00,6.4506949739e-04,4.372796,0.22514668
15.998587,5.2756566064e+00,7.2019071979e-04,3.549488,0.22525820
15.998587,5.8900303675e+00,8.0406014388e-04,2.872063,0.22180433
15.998587,6.5759506955e+00,8.9769653676e-04,2.317112,0.21870483
15.998587,7.3417495075e+00,1.0022373056e-03,1.864212,0.20951925
15.998587,8.1967290095e+00,1.1189523136e-03,1.495776,0.20427078
15.998587,9.1512746909e+00,1.2492593052e-03,1.196853,0.19591051
15.998587,1.0216981478e+01,1.3947411277e-03,0.954883,0.18755113
15.998587,1.1406794577e+01,1.5571649578e-03,0.759407,0.17761999
15.998587,1.2735166723e+01,1.7385037680e-03,0.601789,0.16638165
15.998587,1.5874010520e+01,4.7526018604e-03,0.873199,0.46897822
15.998587,1.7722609903e+01,5.8250799726e-03,0.756340,0.46899302
15.998587,1.9786486935e+01,7.2740827868e-03,0.664021,0.46998882
15.998587,2.2090711661e+01,9.2259159575e-03,0.588667,0.46910093
15.998587,2.4663273642e+01,1.1959075813e-02,0.529224,0.46882682
18.420700,1.7533409465e+00,1.1193543065e-04,8.880486,0.04333579
18.420700,1.9575253262e+00,1.2497081120e-04,7.501923,0.04334982
18.420700,2.1854878884e+00,1.3952422001e-04,6.319608,0.04432430
18.420700,2.4399977085e+00,1.5577243823e-04,5.308663,0.04410278
18.420700,2.7241463332e+00,1.8915077796e-04,4.993453,0.05213956
18.420700,3.0413853336e+00,2.4215438117e-04,4.992546,0.06950413
18.420700,3.3955682317e+00,3.1389215079e-04,5.000652,0.09293613
18.420700,3.7909973093e+00,4.1069699497e-04,4.991693,0.12824546
18.420700,4.2324758681e+00,5.0181195340e-04,4.548786,0.15096329
18.420700,4.7253665758e+00,5.6025019534e-04,3.722469,0.15099153
18.420700,5.2756566064e+00,6.2549383141e-04,3.035055,0.14725780
18.420700,5.8900303675e+00,6.9833538014e-04,2.465923,0.14767736
18.420700,6.5759506955e+00,7.7965965236e-04,1.997018,0.14565770
18.420700,7.3417495075e+00,8.7045449909e-04,1.612438,0.14397029
18.420700,8.1967290095e+00,9.7182281101e-04,1.298265,0.13799235
18.420700,9.1512746909e+00,1.0849959153e-03,1.042471,0.13491300
18.420700,1.0216981478e+01,1.2113485329e-03,0.834791,0.13058429
18.420700,1.0216981478e+01,2.5355849429e-03,1.779568,0.46974498
18.420700,1.1406794577e+01,1.3524154767e-03,0.666578,0.12451281
18.420700,1.1406794577e+01,2.9660871036e-03,1.490626,0.46917396
18.420700,1.2735166723e+01,1.5099102958e-03,0.530612,0.11827810
18.420700,1.2735166723e+01,3.4913356257e-03,1.253157,0.46915735
18.420700,1.4218233734e+01,4.1610527869e-03,1.062968,0.46944856
18.420700,1.5874010520e+01,5.0842008896e-03,0.919022,0.46961062
18.420700,1.7722609903e+01,6.2121535125e-03,0.792409,0.46987118
18.420700,1.9786486935e+01,7.7093287135e-03,0.690096,0.46917032
18.420700,2.2090711661e+01,9.7779501394e-03,0.609494,0.46994931
21.209509,1.4066444801e+00,7.7993975159e-05,9.833038,0.02824480
21.209509,1.5704545088e+00,8.7076721712e-05,8.430960,0.02837831
21.209509,1.7533409465e+00,9.7217194646e-05,7.185511,0.02861109
21.209509,1.9575253262e+00,1.0853857092e-04,6.096072,0.02876477
21.209509,2.1854878884e+00,1.2117837199e-04,5.153741,0.02883315
21.209509,2.4399977085e+00,1.4945055596e-04,5.007071,0.03514041
21.209509,2.7241463332e+00,1.8955218266e-04,4.995973,0.04509417
21.209509,3.0413853336e+00,2.4342432261e-04,4.996195,0.05959405
21.209509,3.3955682317e+00,3.1652139895e-04,5.000091,0.08195137
21.209509,3.7909973093e+00,3.9036915804e-04,4.644917,0.09912723
21.209509,3.7909973093e+00,8.0701316326e-04,9.663919,0.40975250
21.209509,4.2324758681e+00,4.3582938901e-04,3.831170,0.09997510
21.209509,4.2324758681e+00,9.0099344843e-04,7.934041,0.41028213
21.209509,4.7253665758e+00,4.8658366680e-04,3.149849,0.09851974
21.209509,4.7253665758e+00,1.0059181573e-03,6.510400,0.40047044
21.209509,5.2756566064e+00,5.4324850679e-04,2.580339,0.09868482
21.209509,5.2756566064e+00,1.1230618169e-03,5.332102,0.39702799
21.209509,5.8900303675e+00,6.0651222034e-04,2.105982,0.09924876
21.209509,5.8900303675e+00,1.3764933588e-03,4.721353,0.46778938
21.209509,6.5759506955e+00,6.7714327573e-04,1.712706,0.09675257
21.209509,6.5759506955e+00,1.5755166116e-03,3.928433,0.46770428
21.209509,7.3417495075e+00,7.5599963279e-04,1.388252,0.09558773
21.209509,7.3417495075e+00,1.7921315676e-03,3.242463,0.46760123
21.209509,8.1967290095e+00,8.4403916464e-04,1.121821,0.09470953
21.209509,8.1967290095e+00,2.0385285257e-03,2.669557,0.46763711
21.209509,9.1512746909e+00,9.4233129295e-04,0.903940,0.09081290
21.209509,9.1512746909e+00,2.3846383800e-03,2.244864,0.46909560
21.209509,1.0216981478e+01,1.0520699784e-03,0.726388,0.08903485
21.209509,1.0216981478e+01,2.7464605083e-03,1.859541,0.46913019
21.209509,1.1406794577e+01,1.1745882235e-03,0.582127,0.08642137
21.209509,1.1406794577e+01,3.1928398271e-03,1.549444,0.46863989
21.209509,1.2735166723e+01,3.7816975699e-03,1.308485,0.46948286
21.209509,1.4218233734e+01,4.4931140059e-03,1.105674,0.46866573
21.209509,1.5874010520e+01,5.4220433991e-03,0.944015,0.46879891
21.209509,1.7722609903e+01,6.7707898852e-03,0.825499,0.46877357
21.209509,1.9786486935e+01,7.8224203067e-03,0.679175,0.43332562
21.209509,2.2090711661e+01,8.7333760689e-03,0.543814,0.38082900
21.209509,2.4663273642e+01,1.3806405720e-02,0.559500,0.46884630
21.209509,2.7535421948e+01,1.8347487828e-02,0.503483,0.46894458
24.420531,1.2599210499e+00,6.0673011491e-05,8.873279,0.01844929
24.420531,1.4066444801e+00,6.7738654509e-05,7.756158,0.01837362
24.420531,1.5704545088e+00,7.5627123196e-05,6.716549,0.01831029
24.420531,1.7533409465e+00,8.4434239274e-05,5.770125,0.01852569
24.420531,1.9575253262e+00,9.5150824025e-05,4.996622,0.01891473
24.420531,2.1854878884e+00,1.1881982298e-04,5.011169,0.02379676
24.420531,2.4399977085e+00,1.4930254518e-04,4.992023,0.03021377
24.420531,2.7241463332e+00,1.9054625996e-04,5.002234,0.03941976
24.420531,3.0413853336e+00,2.4546331260e-04,4.993427,0.05263413
24.420531,3.3955682317e+00,3.0367566679e-04,4.684869,0.06393292
24.420531,3.7909973093e+00,3.3904005372e-04,3.880153,0.06499242
24.420531,3.7909973093e+00,7.0090011105e-04,8.167107,0.27079357
24.420531,4.2324758681e+00,3.7852278137e-04,3.209932,0.06454695
24.420531,4.2324758681e+00,7.8252305764e-04,6.691275,0.26726700
24.420531,4.7253665758e+00,4.2260344890e-04,2.649642,0.06519320
24.420531,4.7253665758e+00,8.7365136070e-04,5.492565,0.26809287
24.420531,5.2756566064e+00,4.7181750692e-04,2.180520,0.06425608
24.420531,5.2756566064e+00,1.1012031610e-03,5.003632,0.32860800
24.420531,5.8900303675e+00,5.2676276169e-04,1.788117,0.06445912
24.420531,5.8900303675e+00,1.5049506514e-03,4.831731,0.46859078
24.420531,6.5759506955e+00,5.8810663663e-04,1.460902,0.06496728
24.420531,6.5759506955e+00,1.6906948768e-03,3.970915,0.46779369
24.420531,7.3417495075e+00,6.5659427963e-04,1.189251,0.06334696
24.420531,7.3417495075e+00,1.9532914417e-03,3.327198,0.46980846
24.420531,8.1967290095e+00,7.3305761438e-04,0.964830,0.06268675
24.420531,8.1967290095e+00,2.2357122859e-03,2.759967,0.46989838
24.420531,9.1512746909e+00,8.1842544577e-04,0.780311,0.06226164
24.420531,9.1512746909e+00,2.5510196160e-03,2.278055,0.46795118
24.420531,1.0216981478e+01,9.1373474219e-04,0.629250,0.05971760
24.420531,1.0216981478e+01,3.0215059963e-03,1.930311,0.46885384
24.420531,1.1406794577e+01,1.0201432316e-03,0.506036,0.05871185
24.420531,1.1406794577e+01,3.5125881671e-03,1.608877,0.46931352
24.420531,1.2735166723e+01,4.1346136433e-03,1.350939,0.46988867
24.420531,1.4218233734e+01,4.8819532274e-03,1.134883,0.45953422
24.420531,1.5874010520e+01,5.4504784726e-03,0.913674,0.41896966
24.420531,1.7722609903e+01,6.0852110204e-03,0.734705,0.37799579
24.420531,1.9786486935e+01,6.7938610066e-03,0.590098,0.33762523
24.420531,1.9786486935e+01,9.2674944645e-03,0.735443,0.46925403
24.420531,2.2090711661e+01,1.2277426151e-02,0.661682,0.46978151
24.420531,2.4663273642e+01,1.6063804123e-02,0.587651,0.46933209
24.420531,2.7535421948e+01,2.1547521412e-02,0.527447,0.46755105
24.420531,2.7535421948e+01,2.1703295737e-02,0.529699,0.46984047
28.117687,8.1092235729e-01,3.3916185668e-05,9.858546,0.01188634
28.117687,9.0535788556e-01,3.7865876883e-05,9.144499,0.01189787
28.117687,1.0107908526e+00,4.2275527271e-05,8.383584,0.01199311
28.117687,1.1285019594e+00,4.7198701129e-05,7.596638,0.01194857
28.117687,1.2599210499e+00,5.2695200560e-05,6.804463,0.01200513
28.117687,1.4066444801e+00,5.8831791884e-05,6.026968,0.01201671
28.117687,1.5704545088e+00,6.5683016660e-05,5.281456,0.01197449
28.117687,1.7533409465e+00,7.7314471239e-05,4.994227,0.01343684
28.117687,1.9575253262e+00,9.5352747529e-05,5.010398,0.01629066
28.117687,2.1854878884e+00,1.1870214784e-04,5.007404,0.02044323
28.117687,2.4399977085e+00,1.4961938630e-04,5.004076,0.02621893
28.117687,2.7241463332e+00,1.9095062607e-04,4.995066,0.03435502
28.117687,3.0413853336e+00,2.3623513461e-04,4.717524,0.04214177
28.117687,3.3955682317e+00,2.6374577054e-04,3.905701,0.04194739
28.117687,3.3955682317e+00,5.4524366024e-04,8.564559,0.17650697
28.117687,3.7909973093e+00,2.9446014281e-04,3.235130,0.04276089
28.117687,3.7909973093e+00,6.0873971831e-04,6.944835,0.17928979
28.117687,4.2324758681e+00,3.2875134084e-04,2.679805,0.04269164
28.117687,4.2324758681e+00,6.7963017578e-04,5.660756,0.17815309
28.117687,4.7253665758e+00,3.6703590195e-04,2.217881,0.04200578
28.117687,4.7253665758e+00,8.2782997731e-04,5.003863,0.20591966
28.117687,5.2756566064e+00,4.0977887110e-04,1.832057,0.04248782
28.117687,5.2756566064e+00,1.1743775393e-03,4.997807,0.32345610
28.117687,5.8900303675e+00,4.5749944979e-04,1.509070,0.04188350
28.117687,5.8900303675e+00,1.6453958522e-03,4.862870,0.46843215
28.117687,6.5759506955e+00,5.1077730289e-04,1.238763,0.04253004
28.117687,6.5759506955e+00,1.8484741244e-03,4.000735,0.46891608
28.117687,7.3417495075e+00,5.7025959980e-04,1.013128,0.04250154
28.117687,7.3417495075e+00,2.1026175197e-03,3.319108,0.46864691
28.117687,8.1967290095e+00,6.3666887570e-04,0.825559,0.04144795
28.117687,8.1967290095e+00,2.4443537192e-03,2.791359,0.46753136
28.117687,9.1512746909e+00,7.1081180822e-04,0.670389,0.04150993
28.117687,9.1512746909e+00,2.7290096208e-03,2.274580,0.45083883
28.117687,1.0216981478e+01,7.9358901618e-04,0.542642,0.04090282
28.117687,1.0216981478e+01,3.0468149728e-03,1.848597,0.42495362
28.117687,1.1406794577e+01,3.4016301767e-03,1.498782,0.40141131
28.117687,1.2735166723e+01,3.7977651948e-03,1.212637,0.36308737
28.117687,1.4218233734e+01,4.2400319041e-03,0.979388,0.33836283
28.117687,1.4218233734e+01,5.5718962939e-03,1.185828,0.46946125
28.117687,1.5874010520e+01,4.7338025458e-03,0.789808,0.30833647
28.117687,1.5874010520e+01,6.8932880617e-03,1.024512,0.46947551
28.117687,1.7722609903e+01,5.2850749829e-03,0.636081,0.28197199
28.117687,1.7722609903e+01,8.5546217551e-03,0.884424,0.46895733
28.117687,1.9786486935e+01,5.9005455559e-03,0.511655,0.25513140
28.117687,1.9786486935e+01,1.0917772224e-02,0.774793,0.46985551
28.117687,2.2090711661e+01,1.4284830739e-02,0.686539,0.46932000
28.117687,2.2090711661e+01,1.4298862937e-02,0.686939,0.46964784
28.117687,2.4663273642e+01,1.6762230820e-02,0.568788,0.40869839
28.117687,2.4663273642e+01,2.1452887593e-02,0.654603,0.46996495
28.117687,2.7535421948e+01,3.0150838906e-02,0.595993,0.46936499
28.117687,3.0742044746e+01,3.6954715128e-02,0.503009,0.43522929
32.374575,1.0000000000e-01,3.6324800695e-06,9.006049,0.00143370
32.374575,1.1164544638e-01,4.0554985881e-06,8.997413,0.00164050
32.374575,1.2464705697e-01,4.5277795014e-06,8.952827,0.00187534
32.374575,1.3916276314e-01,5.0550596353e-06,8.955132,0.00213580
32.374575,1.5536888810e-01,5.6437438945e-06,9.102929,0.00240914
32.374575,1.7346228865e-01,6.3009830633e-06,9.054229,0.00271626
32.374575,1.9366274646e-01,7.0347606671e-06,9.151124,0.00304928
32.374575,2.1621563775e-01,7.8539899483e-06,9.043289,0.00340751
32.374575,2.4139491390e-01,8.7686221362e-06,9.087610,0.00378942
32.374575,2.6950642916e-01,9.7897673250e-06,9.173909,0.00419256
32.374575,3.0089165584e-01,1.0929829429e-05,8.988399,0.00461351
32.374575,3.3593183228e-01,1.2202656854e-05,8.930553,0.00504782
32.374575,3.7505259366e-01,1.3623710715e-05,8.905676,0.00549001
32.374575,4.1872914234e-01,1.5210252641e-05,8.612692,0.00593370
32.374575,4.6749202008e-01,1.6981554456e-05,8.518481,0.00637175
32.374575,5.2193355259e-01,1.8959132274e-05,8.352749,0.00679652
32.374575,5.8271504458e-01,2.1167007856e-05,8.078773,0.00720029
32.374575,6.5057481262e-01,2.3632000405e-05,7.798250,0.00757565
32.374575,7.2633715356e-01,2.6384052340e-05,7.457151,0.00781946
32.374575,8.1092235729e-01,2.9456593007e-05,6.991586,0.00781518
32.374575,9.0535788556e-01,3.2886944750e-05,6.582173,0.00779518
32.374575,1.0107908526e+00,3.6716776266e-05,6.125359,0.00781343
32.374575,1.1285019594e+00,4.0992608757e-05,5.634088,0.00779695
32.374575,1.2599210499e+00,4.5766381028e-05,5.121925,0.00783765
32.374575,1.4066444801e+00,5.3536787607e-05,4.989548,0.00865512
32.374575,1.5704545088e+00,6.4204563343e-05,4.992330,0.01001005
32.374575,1.7533409465e+00,7.7962078804e-05,5.007837,0.01181988
32.374575,1.9575253262e+00,9.5555099544e-05,5.004558,0.01423195
32.374575,2.1854878884e+00,1.1858458925e-04,4.997924,0.01770864
32.374575,2.4399977085e+00,1.4947120831e-04,5.002194,0.02280112
32.374575,2.7241463332e+00,1.8377184914e-04,4.748988,0.02727074
32.374575,3.0413853336e+00,2.0517290129e-04,3.936355,0.02736539
32.374575,3.0413853336e+00,4.2415551709e-04,9.189683,0.11588283
32.374575,3.3955682317e+00,2.2906620149e-04,3.258462,0.02736033
32.374575,3.3955682317e+00,4.7355032038e-04,7.388474,0.11557927
32.374575,3.7909973093e+00,2.5574198315e-04,2.697412,0.02797305
32.374575,3.7909973093e+00,5.2869736901e-04,5.955246,0.11784795
32.374575,4.2324758681e+00,2.8552427866e-04,2.234029,0.02780661
32.374575,4.2324758681e+00,6.1271701572e-04,4.995277,0.12553348
32.374575,4.7253665758e+00,3.1877485542e-04,1.850668,0.02777405
32.374575,4.7253665758e+00,8.6651392707e-04,5.002349,0.19664237
32.374575,5.2756566064e+00,3.5589761027e-04,1.532198,0.02816984
32.374575,5.2756566064e+00,1.2524143171e-03,4.994678,0.31932142
32.374575,5.8900303675e+00,3.9734347563e-04,1.266466,0.02796273
32.374575,5.8900303675e+00,1.5255151297e-03,4.329296,0.36270986
32.374575,6.5759506955e+00,4.4361589701e-04,1.044097,0.02817853
32.374575,6.5759506955e+00,1.7031681760e-03,3.532914,0.35672688
32.374575,7.3417495075e+00,4.9527694842e-04,0.857935,0.02776495
32.374575,7.3417495075e+00,1.9015097127e-03,2.891849,0.34060507
32.374575,8.1967290095e+00,5.5295415986e-04,0.702396,0.02778774
32.374575,8.1967290095e+00,2.1229490066e-03,2.367740,0.33010185
32.374575,8.1967290095e+00,2.6626172458e-03,2.766454,0.46939436
32.374575,9.1512746909e+00,6.1734814003e-04,0.572935,0.02710154
32.374575,9.1512746909e+00,2.3701758948e-03,1.935575,0.30876056
32.374575,9.1512746909e+00,3.1536856571e-03,2.352517,0.46932417
32.374575,1.0216981478e+01,2.6461934576e-03,1.578406,0.29873564
32.374575,1.0216981478e+01,3.6435120781e-03,1.963630,0.46829496
32.374575,1.1406794577e+01,2.9543544977e-03,1.283729,0.28228592
32.374575,1.1406794577e+01,4.3289329318e-03,1.664539,0.46857208
32.374575,1.2735166723e+01,3.2984022665e-03,1.041474,0.26751114
32.374575,1.2735166723e+01,5.1593202063e-03,1.409732,0.46938796
32.374575,1.4218233734e+01,3.6825159338e-03,0.843100,0.24210252
32.374575,1.4218233734e+01,6.6256373770e-03,1.247012,0.46974419
32.374575,1.5874010520e+01,4.1113613521e-03,0.681249,0.22634996
32.374575,1.5874010520e+01,8.1714680047e-03,1.071982,0.46892327
32.374575,1.7722609903e+01,4.5901477337e-03,0.549600,0.20922107
32.374575,1.7722609903e+01,1.0396384203e-02,0.935762,0.46987066
32.374575,1.7722609903e+01,1.0374274704e-02,0.934605,0.46914115
32.374575,1.9786486935e+01,1.1679528158e-02,0.758025,0.41509187
32.374575,1.9786486935e+01,1.4133885609e-02,0.844812,0.46964896
32.374575,2.2090711661e+01,1.3039661347e-02,0.611094,0.37141318
32.374575,2.2090711661e+01,1.9136540884e-02,0.756650,0.46948727
32.374575,2.4663273642e+01,2.5749176261e-02,0.672109,0.45954308
32.374575,2.7535421948e+01,2.8747782775e-02,0.541263,0.36389505
37.275937,1.0000000000e-01,3.1548502552e-06,5.832556,0.00078831
37.275937,1.1164544638e-01,3.5222466500e-06,5.848486,0.00091287
37.275937,1.2464705697e-01,3.9324279948e-06,5.844068,0.00104524
37.275937,1.3916276314e-01,4.3903767883e-06,5.869942,0.00118447
37.275937,1.5536888810e-01,4.9016557629e-06,5.981240,0.00135140
37.275937,1.7346228865e-01,5.4724754563e-06,5.923131,0.00152504
37.275937,1.9366274646e-01,6.1097696510e-06,5.892719,0.00172149
37.275937,2.1621563775e-01,6.8212795994e-06,5.963703,0.00193494
37.275937,2.4139491390e-01,7.6156480574e-06,5.893695,0.00216509
37.275937,2.6950642916e-01,8.5025242681e-06,5.930369,0.00241108
37.275937,3.0089165584e-01,9.4926811724e-06,5.998407,0.00267150
37.275937,3.3593183228e-01,1.0598146268e-05,5.877055,0.00294428
37.275937,3.7505259366e-01,1.1832347709e-05,5.847260,0.00322669
37.275937,4.1872914234e-01,1.3210277416e-05,5.843360,0.00351533
37.275937,4.6749202008e-01,1.4748673189e-05,5.651035,0.00380618
37.275937,5.2193355259e-01,1.6466222016e-05,5.602782,0.00409469
37.275937,5.8271504458e-01,1.8383787071e-05,5.507078,0.00437592
37.275937,6.5057481262e-01,2.0524661136e-05,5.336361,0.00464479
37.275937,7.2633715356e-01,2.2914849543e-05,5.164457,0.00489637
37.275937,8.1092235729e-01,2.5743049242e-05,5.010270,0.00517744
