Order,Stage,Dependencies,Script,Reads,Writes,Paper Section
1,0 - VPM Scan,none,core/v22_raw_scan_fast.py,nothing (grid scan from scratch),"data/all_viable_raw_v8.csv, data/all_viable_representative_v8.csv",§3
2,1 - Relic Density,v22_raw_scan (code) + v27_boltzmann_relic (code),relic_density/smart_scan.py,nothing (own grid scan + Boltzmann bisection),"data/v31_all_relic_points.csv, data/v31_true_viable_points.csv (17 BPs)","§4.4, §6.2"
3,1 - Relic Density,v22_raw_scan (data + code) + v27_boltzmann_relic (code),relic_density/benchmark_extractor.py,data/all_viable_raw_v8.csv,data/v30_perfect_benchmarks.csv,§4.3
4,1 - Relic Density,v22_raw_scan (code) + v27_boltzmann_relic (code),relic_density/boltzmann_correction.py,config params,console only,§4.4 verify
5,1 - Relic Density,smart_scan (data) + v22_raw_scan (code),relic_density/plot_island.py,data/v31_all_relic_points.csv,"v31_island_of_viability.png, v31_bp1_velocity_profile.png",Figure 2
6,2 - Observations,v22_raw_scan (data + code) + smart_scan (data),observations/chi2_fit.py,"data/all_viable_raw_v8.csv, data/v31_true_viable_points.csv","v34_results.csv, v34_chi2_fit.png, v34_output.txt",§6
7,2 - Observations,global_config + v22_raw_scan (code),observations/observational_comparison.py,global_config.json (BPs + obs),output/v33_observational_comparison.png,Figure 3
8,2 - Observations,global_config + v22_raw_scan (code),observations/opusB_observational_comparison.py,global_config.json (BPs + obs),output/v33_observational_comparison.png (Harvey+15 fix),Figure 3 (fixed)
9,2 - Observations,global_config + v22_raw_scan (code),observations/map_compat_check.py,global_config.json,console only,Quick check
10,3 - MCMC,smart_scan (data) + v22_raw_scan (code),stats_mcmc/run_mcmc.py,data/v31_true_viable_points.csv,"v38_corner.png, v38_mcmc_chains.png, v38_lambda_posterior.png, v38_mcmc_samples.csv, v38_mcmc_samples.npy",§6
11,3 - MCMC,smart_scan (data) + v22_raw_scan (code),stats_mcmc/opusB_run_mcmc.py,data/v31_true_viable_points.csv,same as run_mcmc (lambda + Harvey fix),§6 (fixed)
12,3 - MCMC,run_mcmc (data),stats_mcmc/autocorr_diagnostic.py,output/v38_mcmc_samples.npy,autocorrelation plot,§6 convergence
13,4 - VPM Validation,smart_scan (data) + v22_raw_scan (code),vpm_scan/error_budget.py,data/v31_true_viable_points.csv (BP17),console,Appendix B
14,4 - VPM Validation,global_config only,vpm_scan/grid_convergence.py,none,"output/grid_convergence.png, PDF",Appendix B.1
15,4 - VPM Validation,global_config only,vpm_scan/attractive_repulsive_ratio.py,none,"output/attractive_repulsive_ratio.png, PDF",Appendix C
16,4 - VPM Validation,global_config only,vpm_scan/transfer_elastic_ratio.py,none,"output/transfer_elastic_ratio.png, PDF",Appendix C
17,4 - VPM Validation,global_config only,vpm_scan/partial_wave_decomposition.py,none,"output/partial_wave_decomposition.png, PDF",Appendix C
18,4 - VPM Validation,global_config only,vpm_scan/vpm_born_ratio.py,none,"output/vpm_born_ratio.png, PDF",Appendix C
19,5 - Cross-checks,v22_raw_scan (data + code),cross_checks/blind_sanity.py,data/all_viable_representative_v8.csv,console,§4 validation
20,5 - Cross-checks,v22_raw_scan (data + code),cross_checks/blind_large.py,data/all_viable_representative_v8.csv,console,§4 validation
21,5 - Cross-checks,v22_raw_scan (code),cross_checks/tyz_comparison.py,none,output/v35_tyz_comparison.png,§3 vs TYZ13
22,5 - Cross-checks,v22_raw_scan (code) + hardcoded TYZ13,cross_checks/literature_crosscheck.py,none,console,§3 vs TYZ13 Table I
23,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/velocity_averaged.py,data/v31_true_viable_points.csv,output/v37_velocity_averaged.png,§4 MB averaging
24,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/sommerfeld.py,data/v31_true_viable_points.csv,output/v36_sommerfeld.png,§4 Sommerfeld
25,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/bullet_onesided.py,data/v31_true_viable_points.csv,console,§6 chi2 method
26,5 - Cross-checks,v22_raw_scan (code),cross_checks/transfer_vs_elastic.py,none,console,§3 sigma_T = sigma_el
27,6 - Cosmology,global_config only,cosmology/mediator_cosmology.py,none,console,§5.1 (Higgs portal excluded)
28,6 - Cosmology,global_config only,cosmology/bsf_estimate.py,none,console,§5.2 (BSF irrelevant)
29,6 - Cosmology,global_config only,cosmology/fermi_lat_dsph.py,none,console,§5.3 (Fermi-LAT PASS)
30,7 - Predictions,global_config + v22_raw_scan (code) + local CSV,predictions/gravothermal/predict_gravothermal.py,gravothermal/dsphs_data.csv,output/*.png,§7.2
31,7 - Predictions,global_config + v22_raw_scan (code) + local CSV,predictions/cluster_offsets/predict_offsets.py,cluster_offsets/clusters_data.csv,output/*.png,§7.3
32,7 - Predictions,global_config + v22_raw_scan (code) + local CSV,predictions/rotation_curves/predict_core_sizes.py,rotation_curves/sparc_subset.csv,output/*.png,§7.4
33,7 - Predictions,v22_raw_scan (code) + local CSVs,predictions/rotation_curves/fit_sparc_baryons.py,"sparc_rotation_data.csv, sparc_galaxies.csv",output/*.png,§7.4
34,7 - Predictions,v22_raw_scan (code) + local CSVs,predictions/rotation_curves/sensitivity_analysis.py,"sparc_rotation_data.csv, sparc_galaxies.csv","output/*.png, CSV",§7.4 sensitivity
35,7 - Predictions,global_config only,predictions/delta_neff/predict_neff.py,none,output/*.png,§7.5
36,7 - Predictions,global_config only,predictions/delta_neff/sensitivity_scan.py,none,"output/*.png, PDF",§7.5 contour
37,7 - Predictions,global_config + v22_raw_scan (code),predictions/fornax_jeans/predict_fornax_jeans.py,global_config.json (Walker+2009),output/*.png,§7.6 (isotropic)
38,7 - Predictions,global_config + v22_raw_scan (code),predictions/fornax_jeans/predict_fornax_jeans_feedback.py,global_config.json (Walker+2009),output/*.png,§7.6 (+feedback)
39,7 - Predictions,global_config + v22_raw_scan (code),predictions/fornax_jeans/predict_fornax_jeans_aniso.py,global_config.json (Walker+2009),output/*.png,§7.6 (final: +OM beta)
40,7 - Predictions,global_config + v22_raw_scan (code),predictions/multi_dsph_jeans/predict_multi_dsph_jeans.py,embedded dSph data,output/*.png,§7.7
41,7 - Predictions,global_config + v22_raw_scan (code),predictions/majorana_vs_dirac/predict_maj_vs_dir.py,none,"output/*.png, maj_vs_dir_data.csv",§7.8
42,7 - Predictions,global_config + v22_raw_scan (code),predictions/majorana_vs_dirac/analyze_ratio_function.py,none,"output/r_v_analysis.png, .csv",§7.8 analysis
43,7 - Predictions,analyze_ratio_function (code) + v22_raw_scan (code),predictions/majorana_vs_dirac/plot_r_v_paper.py,none (imports from #42),publication figure,§7.8 figure
44,7 - Predictions,global_config + v22_raw_scan (code) + local CSV,predictions/mc_diversity/mc_diversity.py,rotation_curves/sparc_subset.csv,"output/*.png, .pdf, CSV",§7.9
45,7 - Predictions,global_config + v22_raw_scan (code),predictions/resonance_sensitivity/resonance_sensitivity.py,none,"output/*.png, .pdf, CSV",§7.10
46,7 - Predictions,smart_scan (data) + v22_raw_scan (code) + local CSVs,predictions/sweep_all_bps.py,"v31_true_viable_points.csv, dsphs_data.csv, clusters_data.csv",output/*.csv,Grand summary
47,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/cp_separation/cp_separation_table.py,cp_separation/config.json,"CSV, markdown",§7.1
48,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/cp_separation/cp_separation_MAP.py,cp_separation/config.json,"CSV, markdown",§7.1 (MAP)
49,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/fornax_gc/predict_fornax_gc.py,global_config.json (Fornax halo),output/*.png,§7.2 (GC survival)
50,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/ufd_crater/predict_ufd.py,embedded data,"output/*.png, CSV",§7.5 (UFDs)
51,8 - Model Validations,fit_sparc_baryons (data) + v22_raw_scan (code),model_validations/rar_mcgaugh/rar_analysis.py,SPARC data (via fit_sparc_baryons),"output/*.png, CSV",§7.3 (RAR)
52,8 - Model Validations,fit_sparc_baryons (data) + v22_raw_scan (code),model_validations/rar_mcgaugh/rar_analysis_v2.py,SPARC data + gas fractions,"output/*.png, CSV",§7.3 (gas fix)
53,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/vpm_low_velocity/vpm_diagnostic.py,none,"output/*.png, CSV",§7.2/7.5 diagnostic
54,8 - Model Validations,global_config + v22_raw_scan (code),model_validations/smbh_seeds/predict_smbh_seeds.py,none,output/*.png,§7.4 (SMBH seeds)
55,9 - Mixed Coupling,v22_raw_scan (code),mixed_coupling/opusA/condition1_amplitude.py,none,console,§2 (analytic a0 verification)
56,9 - Mixed Coupling,v22_raw_scan (code) + global_config,mixed_coupling/opusA/condition2_coupling_scan.py,global_config.json,output/*.png,§5.6 (CP-separation band)
57,9 - Mixed Coupling,global_config,mixed_coupling/opusA/condition3_cannibal_sensitivity.py,global_config.json,output/*.png,§4.3 (cannibal threshold)
58,9 - Mixed Coupling,v22_raw_scan (code),mixed_coupling/opusA/condition4_nr_potential.py,none,console,§2 (VPM unchanged by yp)
59,10 - Figures,all figure-producing steps,arxiv/copy_figures.py,module output PNGs,arxiv/figures/*.png,All figures
